Year,Winter Barley,Spring Barley,Winter Wheat,Spring Wheat,Silage Maize,White Potato,Oat,Dry Pea,Winter Rape,Spring Rape,Overall
2003,2.691867124856816,0.6300114547537228,2.691867124856816,0.6300114547537228,0.6300114547537228,4.696449026345934,6.872852233676976,0.6300114547537228,0.9736540664375716,11.912943871706757,3.2359679266895762
2004,2.691867124856816,0.8018327605956471,2.691867124856816,0.6872852233676976,0.6300114547537228,6.242840778923253,9.621993127147768,0.8018327605956471,0.40091638029782356,11.912943871706757,3.6483390607101946
2005,4.352806414662084,0.8018327605956471,4.238258877434135,0.8018327605956471,0.6872852233676976,3.5509736540664374,9.392898052691868,0.8018327605956471,0.7445589919816723,12.600229095074456,3.797250859106529
2006,2.691867124856816,3.379152348224513,2.691867124856816,3.0927835051546393,1.7754868270332187,5.555555555555555,9.049255441008018,2.0618556701030926,0.45819014891179843,10.882016036655212,4.163802978235968
2007,1.088201603665521,0.572737686139748,1.088201603665521,0.5154639175257731,0.8018327605956471,5.555555555555555,2.86368843069874,0.7445589919816723,0.057273768613974804,12.428407789232532,2.5715922107674687
2008,1.6036655211912942,0.22909507445589922,1.6036655211912942,0.22909507445589922,0.286368843069874,2.520045819014891,4.29553264604811,0.3436426116838488,0.286368843069874,13.516609392898053,2.4914089347079043
2009,1.8327605956471937,0.6872852233676976,1.8327605956471937,0.6300114547537228,0.572737686139748,7.101947308132875,10.137457044673539,0.8018327605956471,0.45819014891179843,12.943871706758307,3.699885452462772
2010,2.2336769759450172,2.8064146620847654,2.2336769759450172,2.6345933562428407,3.150057273768614,8.705612829324169,9.335624284077893,2.348224513172967,0.11454753722794961,11.45475372279496,4.501718213058419
2011,2.520045819014891,0.859106529209622,2.520045819014891,0.859106529209622,0.8018327605956471,5.040091638029782,6.013745704467354,0.9736540664375716,0.057273768613974804,8.419243986254296,2.806414662084765
2012,0.9736540664375716,1.0309278350515463,0.9736540664375716,1.0309278350515463,0.9736540664375716,4.41008018327606,6.414662084765177,1.0309278350515463,0.286368843069874,10.538373424971363,2.7663230240549828
2013,0.8018327605956471,0.6300114547537228,0.8018327605956471,0.5154639175257731,0.40091638029782356,7.502863688430699,7.846506300114547,0.45819014891179843,0.45819014891179843,9.736540664375717,2.9152348224513167
2014,1.6609392898052693,0.11454753722794961,1.6609392898052693,0.057273768613974804,0.40091638029782356,0.9163802978235969,3.493699885452463,0.1718213058419244,0.5154639175257731,10.309278350515463,1.9301260022909503
2015,2.520045819014891,0.11454753722794961,2.520045819014891,0.057273768613974804,0.286368843069874,2.004581901489118,3.6655211912943875,0.22909507445589922,0.11454753722794961,12.428407789232532,2.3940435280641466
2016,3.150057273768614,1.718213058419244,3.150057273768614,1.6609392898052693,0.7445589919816723,10.652920962199312,8.47651775486827,0.9163802978235969,0.6300114547537228,11.225658648339062,4.232531500572738
2017,3.493699885452463,1.43184421534937,3.436426116838488,1.3172966781214204,1.145475372279496,3.3218785796105386,8.648339060710194,1.145475372279496,0.057273768613974804,12.428407789232532,3.642611683848797
2018,5.2691867124856815,1.9473081328751431,5.040091638029782,1.8327605956471937,0.8018327605956471,9.221076746849944,10.939289805269187,1.6036655211912942,0.45819014891179843,12.886597938144329,5.0
