crop,year,obs_mean_yield,cf_mean_yield
Dry Pea,1979,0.014838935,0.014838934876024723
Dry Pea,1980,0.022981387,0.02298138663172722
Dry Pea,1981,0.1722408,0.17224079370498657
Dry Pea,1982,0.022578413,0.022578412666916847
Dry Pea,1983,0.014755971,0.014755970798432827
Dry Pea,1984,0.027064094,0.027064094319939613
Dry Pea,1985,0.015028571,0.015028570778667927
Dry Pea,1986,0.014424109,0.014424108900129795
Dry Pea,1987,0.014400405,0.014400404877960682
Dry Pea,1988,0.13386229,0.13386228680610657
Dry Pea,1989,0.03487092,0.03487091884016991
Dry Pea,1990,0.054731198,0.05473119765520096
Dry Pea,1991,0.15025873,0.15025873482227325
Dry Pea,1992,0.022128029,0.0221280287951231
Dry Pea,1993,0.014080396,0.014080395922064781
Dry Pea,1994,0.047612544,0.047612544149160385
Dry Pea,1995,0.025942147,0.02594214677810669
Dry Pea,1996,0.03472758,0.03472758084535599
Dry Pea,1997,0.028632233,0.028632232919335365
Dry Pea,1998,0.05220259,0.05220258980989456
Dry Pea,1999,0.072606444,
Dry Pea,2000,0.2872536,
Dry Pea,2001,0.20746166,
Dry Pea,2002,0.14228679,
Dry Pea,2003,0.13985676,
Dry Pea,2004,0.16202262,
Dry Pea,2005,0.16585512,
Dry Pea,2006,0.41425163,
Dry Pea,2007,0.16467306,
Dry Pea,2008,0.0684732,
Dry Pea,2009,0.1600501,
Dry Pea,2010,0.5229833,
Dry Pea,2011,0.20835656,
Dry Pea,2012,0.22115882,
Dry Pea,2013,0.10516318,
Dry Pea,2014,0.03298853,
Dry Pea,2015,0.03796613,
Dry Pea,2016,0.19292831,
Dry Pea,2017,0.2520019,
Dry Pea,2018,0.35196853,
Winter Rape,1979,0.0,0.0
Winter Rape,1980,0.0,0.0
Winter Rape,1981,0.0,0.0
Winter Rape,1982,0.0,0.0
Winter Rape,1983,0.026251353,0.026251353323459625
Winter Rape,1984,0.010018422,0.010018422268331051
Winter Rape,1985,0.06502685,0.06502684950828552
Winter Rape,1986,0.0,0.0
Winter Rape,1987,0.015461016,0.015461016446352005
Winter Rape,1988,0.0,0.0
Winter Rape,1989,0.022892805,0.022892804816365242
Winter Rape,1990,0.029726477,0.029726477339863777
Winter Rape,1991,0.0,0.0
Winter Rape,1992,0.077835776,0.07783577591180801
Winter Rape,1993,0.06379627,0.063796266913414
Winter Rape,1994,0.024261257,0.02426125667989254
Winter Rape,1995,0.0,0.0
Winter Rape,1996,0.003698121,0.0036981210578233004
Winter Rape,1997,0.0,0.0
Winter Rape,1998,0.20472038,0.2047203779220581
Winter Rape,1999,0.003887545,
Winter Rape,2000,0.0,
Winter Rape,2001,0.010251983,
Winter Rape,2002,0.04482038,
Winter Rape,2003,0.19446924,
Winter Rape,2004,0.099377245,
Winter Rape,2005,0.17649859,
Winter Rape,2006,0.09636987,
Winter Rape,2007,0.015471111,
Winter Rape,2008,0.04957892,
Winter Rape,2009,0.109753296,
Winter Rape,2010,0.034129016,
Winter Rape,2011,0.012554563,
Winter Rape,2012,0.06587883,
Winter Rape,2013,0.100523174,
Winter Rape,2014,0.13531901,
Winter Rape,2015,0.015438272,
Winter Rape,2016,0.14199468,
Winter Rape,2017,0.014556013,
Winter Rape,2018,0.12271979,
Spring Rape,1979,1.024938,1.0249379873275757
Spring Rape,1980,0.92329925,0.923299252986908
Spring Rape,1981,1.1748956,1.1748956441879272
Spring Rape,1982,0.9890653,0.9890652894973755
Spring Rape,1983,0.9620958,0.9620957970619202
Spring Rape,1984,0.80803263,0.8080326318740845
Spring Rape,1985,0.98486286,0.9848628640174866
Spring Rape,1986,1.0411415,1.0411415100097656
Spring Rape,1987,1.0151762,1.0151761770248413
Spring Rape,1988,1.1770818,1.177081823348999
Spring Rape,1989,1.1749842,1.1749842166900635
Spring Rape,1990,0.7849099,0.7849099040031433
Spring Rape,1991,1.1874274,1.1874274015426636
Spring Rape,1992,1.1412808,1.1412807703018188
Spring Rape,1993,1.0345509,1.0345509052276611
Spring Rape,1994,1.1117224,1.1117223501205444
Spring Rape,1995,0.9505012,0.9505012035369873
Spring Rape,1996,1.0992477,1.099247694015503
Spring Rape,1997,1.1484377,1.148437738418579
Spring Rape,1998,1.5447755,1.5447754859924316
Spring Rape,1999,1.2131782,
Spring Rape,2000,1.4896795,
Spring Rape,2001,1.2435867,
Spring Rape,2002,1.9363467,
Spring Rape,2003,1.4374744,
Spring Rape,2004,1.4192886,
Spring Rape,2005,1.5042576,
Spring Rape,2006,1.3850061,
Spring Rape,2007,1.5394644,
Spring Rape,2008,1.5933468,
Spring Rape,2009,1.5296779,
Spring Rape,2010,1.4529868,
Spring Rape,2011,0.9746744,
Spring Rape,2012,1.1711355,
Spring Rape,2013,1.2548193,
Spring Rape,2014,1.1964278,
Spring Rape,2015,1.5088459,
Spring Rape,2016,1.4761783,
Spring Rape,2017,1.4635816,
Spring Rape,2018,1.5290724,
