year,scenario,mean_yield,crop
2017,no_thaw,481.2852725558811,Winter Barley
2018,no_thaw,457.54827553885326,Winter Barley
1979,observed,297.3977355957031,Spring Barley
1980,observed,183.42051696777344,Spring Barley
1981,observed,185.45262908935547,Spring Barley
1982,observed,239.28611755371094,Spring Barley
1983,observed,215.16732788085938,Spring Barley
1984,observed,175.35879516601562,Spring Barley
1985,observed,265.0877990722656,Spring Barley
1986,observed,241.85659790039062,Spring Barley
1987,observed,294.5701904296875,Spring Barley
1988,observed,176.1362042427063,Spring Barley
1989,observed,194.55053329467773,Spring Barley
1990,observed,248.33901596069336,Spring Barley
1991,observed,266.79933860085225,Spring Barley
1992,observed,294.5701904296875,Spring Barley
1993,observed,258.6081848144531,Spring Barley
1994,observed,209.42580795288086,Spring Barley
1995,observed,257.7760925292969,Spring Barley
1996,observed,195.27782440185547,Spring Barley
1997,observed,194.84810384114584,Spring Barley
1998,observed,227.0795669555664,Spring Barley
1999,observed,166.67832401820593,Spring Barley
2000,observed,209.3091516494751,Spring Barley
2001,observed,183.17498136821547,Spring Barley
2002,observed,243.9530849456787,Spring Barley
2003,observed,244.11057350852272,Spring Barley
2004,observed,218.51210239955358,Spring Barley
2005,observed,222.36993299211775,Spring Barley
2006,observed,218.33888944983482,Spring Barley
2007,observed,198.160489654541,Spring Barley
2008,observed,234.24143600463867,Spring Barley
2009,observed,173.7304883003235,Spring Barley
2010,observed,214.24607849121094,Spring Barley
2011,observed,255.03539085388184,Spring Barley
2012,observed,237.12107594807944,Spring Barley
2013,observed,153.822247505188,Spring Barley
2014,observed,218.8427276611328,Spring Barley
2015,observed,210.05404663085938,Spring Barley
2016,observed,235.4541810353597,Spring Barley
2017,observed,200.67537206013998,Spring Barley
2018,observed,216.3788342598157,Spring Barley
1999,no_thaw,166.67832401820593,Spring Barley
2000,no_thaw,203.95486145019532,Spring Barley
2001,no_thaw,197.90563557942707,Spring Barley
2002,no_thaw,231.07191189852628,Spring Barley
2003,no_thaw,220.66305236816407,Spring Barley
2004,no_thaw,191.13028462727866,Spring Barley
2005,no_thaw,221.6509521484375,Spring Barley
2006,no_thaw,220.4407333532969,Spring Barley
2007,no_thaw,184.7127888997396,Spring Barley
2008,no_thaw,234.24143600463867,Spring Barley
2009,no_thaw,173.7304883003235,Spring Barley
2010,no_thaw,268.81392803192136,Spring Barley
2011,no_thaw,250.31534322102866,Spring Barley
2012,no_thaw,237.12107594807944,Spring Barley
2013,no_thaw,163.72080039978027,Spring Barley
2014,no_thaw,218.8427276611328,Spring Barley
2015,no_thaw,246.54296875,Spring Barley
2016,no_thaw,218.72820939688847,Spring Barley
2017,no_thaw,228.66700571233577,Spring Barley
2018,no_thaw,253.45224815191224,Spring Barley
1979,observed,270.03238646189374,Winter Wheat
1980,observed,481.4640350341797,Winter Wheat
1981,observed,294.96946120262146,Winter Wheat
1982,observed,294.9296283721924,Winter Wheat
1983,observed,192.9990118275518,Winter Wheat
1984,observed,203.15910657246908,Winter Wheat
1985,observed,284.9143140883673,Winter Wheat
1986,observed,42.315712451934814,Winter Wheat
1987,observed,232.12950229644775,Winter Wheat
1988,observed,330.25246269226074,Winter Wheat
1989,observed,198.43178659585806,Winter Wheat
1990,observed,322.319624265035,Winter Wheat
1991,observed,453.3819351196289,Winter Wheat
1992,observed,208.55835342407227,Winter Wheat
1993,observed,159.99799840590532,Winter Wheat
1994,observed,220.5617935180664,Winter Wheat
1995,observed,350.7229804992676,Winter Wheat
1996,observed,70.4490375129544,Winter Wheat
1997,observed,327.2399190266927,Winter Wheat
1998,observed,245.48493986863357,Winter Wheat
1999,observed,166.28317700261655,Winter Wheat
2000,observed,254.72888040542603,Winter Wheat
2001,observed,247.8288827375932,Winter Wheat
2002,observed,454.74771447017275,Winter Wheat
2003,observed,346.94245729138777,Winter Wheat
2004,observed,342.8821304957072,Winter Wheat
2005,observed,297.1002094803318,Winter Wheat
2006,observed,427.84132804870603,Winter Wheat
2007,observed,264.5828205347061,Winter Wheat
2008,observed,216.4531322563848,Winter Wheat
2009,observed,190.90114621605193,Winter Wheat
2010,observed,460.36971346537274,Winter Wheat
2011,observed,433.3225572374132,Winter Wheat
2012,observed,203.5149286148396,Winter Wheat
2013,observed,136.5805342069694,Winter Wheat
2014,observed,376.5203190803528,Winter Wheat
2015,observed,415.9001895189285,Winter Wheat
2016,observed,476.0942138803416,Winter Wheat
2017,observed,478.55286758176743,Winter Wheat
2018,observed,473.39107116850295,Winter Wheat
1999,no_thaw,358.79487334357367,Winter Wheat
2000,no_thaw,165.03025228836958,Winter Wheat
2001,no_thaw,238.9128050138784,Winter Wheat
2002,no_thaw,527.8342410000888,Winter Wheat
2003,no_thaw,342.639226323908,Winter Wheat
2004,no_thaw,347.49214827219646,Winter Wheat
2005,no_thaw,324.927764155648,Winter Wheat
2006,no_thaw,437.68868519176135,Winter Wheat
2007,no_thaw,311.9741220888884,Winter Wheat
2008,no_thaw,286.9382960335547,Winter Wheat
2009,no_thaw,203.13865084807077,Winter Wheat
2010,no_thaw,424.301544380188,Winter Wheat
2011,no_thaw,408.99306651524137,Winter Wheat
2012,no_thaw,182.0677613871438,Winter Wheat
2013,no_thaw,108.50105582475662,Winter Wheat
2014,no_thaw,288.5926679611206,Winter Wheat
2015,no_thaw,401.26035563151044,Winter Wheat
2016,no_thaw,474.09928035736084,Winter Wheat
2017,no_thaw,478.92459377712674,Winter Wheat
2018,no_thaw,453.9069021315802,Winter Wheat
1979,observed,301.25921630859375,Spring Wheat
1980,observed,121.11245727539062,Spring Wheat
1981,observed,177.40481286299857,Spring Wheat
1982,observed,221.58585357666016,Spring Wheat
1983,observed,213.21392822265625,Spring Wheat
1984,observed,140.14439868927002,Spring Wheat
1985,observed,262.6811828613281,Spring Wheat
1986,observed,252.5105743408203,Spring Wheat
1987,observed,317.0912780761719,Spring Wheat
1988,observed,153.58319926261902,Spring Wheat
1989,observed,182.97421073913574,Spring Wheat
1990,observed,252.61480712890625,Spring Wheat
1991,observed,262.8711006858132,Spring Wheat
1992,observed,291.89593505859375,Spring Wheat
1993,observed,256.2603759765625,Spring Wheat
1994,observed,213.4920597076416,Spring Wheat
1995,observed,301.0821228027344,Spring Wheat
1996,observed,192.7344627380371,Spring Wheat
1997,observed,208.75543467203775,Spring Wheat
1998,observed,210.15153121948242,Spring Wheat
1999,observed,141.11962018694197,Spring Wheat
2000,observed,193.45940279960632,Spring Wheat
2001,observed,165.68882229453638,Spring Wheat
2002,observed,248.5971326828003,Spring Wheat
2003,observed,256.0213886607777,Spring Wheat
2004,observed,213.06201117379325,Spring Wheat
2005,observed,222.8562180655343,Spring Wheat
2006,observed,187.7461662888527,Spring Wheat
2007,observed,197.8365394592285,Spring Wheat
2008,observed,235.0794677734375,Spring Wheat
2009,observed,166.12900733947754,Spring Wheat
2010,observed,194.49784018776634,Spring Wheat
2011,observed,252.09838104248047,Spring Wheat
2012,observed,242.31642150878906,Spring Wheat
2013,observed,134.11581254005432,Spring Wheat
2014,observed,202.41979598999023,Spring Wheat
2015,observed,200.44570922851562,Spring Wheat
2016,observed,229.77922354804144,Spring Wheat
2017,observed,180.0766408284505,Spring Wheat
2018,observed,214.75495490049704,Spring Wheat
1999,no_thaw,141.11962018694197,Spring Wheat
2000,no_thaw,184.2165214538574,Spring Wheat
2001,no_thaw,184.1210858662923,Spring Wheat
2002,no_thaw,233.39497791637075,Spring Wheat
2003,no_thaw,220.25307922363282,Spring Wheat
2004,no_thaw,177.8022549947103,Spring Wheat
2005,no_thaw,221.44963912963868,Spring Wheat
2006,no_thaw,190.2565852801005,Spring Wheat
2007,no_thaw,183.4942593044705,Spring Wheat
2008,no_thaw,235.0794677734375,Spring Wheat
2009,no_thaw,166.12900733947754,Spring Wheat
2010,no_thaw,223.5156623840332,Spring Wheat
2011,no_thaw,230.84378306070963,Spring Wheat
2012,no_thaw,242.31642150878906,Spring Wheat
2013,no_thaw,142.71573162078857,Spring Wheat
2014,no_thaw,202.41979598999023,Spring Wheat
2015,no_thaw,224.62667083740234,Spring Wheat
2016,no_thaw,211.77476212074018,Spring Wheat
2017,no_thaw,206.26275010542437,Spring Wheat
2018,no_thaw,252.38814979375795,Spring Wheat
1979,observed,11.28679432053315,Silage Maize
1980,observed,17.342622986861638,Silage Maize
1981,observed,36.151044545074306,Silage Maize
1982,observed,58.483718713124595,Silage Maize
1983,observed,31.054472310202463,Silage Maize
1984,observed,82.23160970211029,Silage Maize
1985,observed,23.971293473243712,Silage Maize
1986,observed,200.780517578125,Silage Maize
1987,observed,19.328588485717773,Silage Maize
1988,observed,130.7796892438616,Silage Maize
1989,observed,31.471127533912657,Silage Maize
1990,observed,148.61559677124023,Silage Maize
1991,observed,103.53974481632835,Silage Maize
1992,observed,20.28827854792277,Silage Maize
1993,observed,47.94259222348531,Silage Maize
1994,observed,137.73989622933524,Silage Maize
1995,observed,147.8352165222168,Silage Maize
1996,observed,42.53274659315745,Silage Maize
1997,observed,19.27123165948718,Silage Maize
1998,observed,67.15398100018501,Silage Maize
1999,observed,126.04704460730919,Silage Maize
2000,observed,112.20353563489586,Silage Maize
2001,observed,96.15104549378157,Silage Maize
2002,observed,94.10165847092867,Silage Maize
2003,observed,90.7032158613205,Silage Maize
2004,observed,123.2315987440256,Silage Maize
2005,observed,156.97171847025552,Silage Maize
2006,observed,127.18199529145893,Silage Maize
