year,crop,mean_delta,pct_positive,pct_negative
2013,Silage Maize,-0.003436426116838488,0.0,0.11454753722794961
2014,Silage Maize,0.002290950744558992,0.1718213058419244,0.0
2015,Silage Maize,0.0028636884306987398,0.11454753722794961,0.0
2016,Silage Maize,0.003436426116838488,0.1718213058419244,0.0
2017,Silage Maize,0.004009163802978236,0.286368843069874,0.0
2018,Silage Maize,0.0,0.0,0.0
1999,White Potato,-0.00859106529209622,0.3436426116838488,1.145475372279496
2000,White Potato,0.006300114547537228,0.45819014891179843,0.057273768613974804
2001,White Potato,-0.006300114547537228,0.11454753722794961,0.7445589919816723
2002,White Potato,0.03608247422680412,3.150057273768614,0.22909507445589922
2003,White Potato,0.010882016036655211,1.088201603665521,0.1718213058419244
2004,White Potato,0.021191294387170677,1.7754868270332187,0.057273768613974804
2005,White Potato,-0.002290950744558992,0.22909507445589922,0.3436426116838488
2006,White Potato,0.001718213058419244,0.8018327605956471,0.572737686139748
2007,White Potato,0.0057273768613974796,0.6300114547537228,0.22909507445589922
2008,White Potato,0.000572737686139748,0.11454753722794961,0.057273768613974804
2009,White Potato,0.018900343642611683,0.9736540664375716,0.0
2010,White Potato,0.021191294387170677,2.5773195876288657,0.6300114547537228
2011,White Potato,0.006872852233676976,1.088201603665521,0.572737686139748
2012,White Potato,0.0028636884306987398,0.3436426116838488,0.057273768613974804
2013,White Potato,-0.000572737686139748,0.6872852233676976,0.859106529209622
2014,White Potato,-0.001145475372279496,0.11454753722794961,0.22909507445589922
2015,White Potato,0.0074455899198167235,0.8018327605956471,0.22909507445589922
2016,White Potato,0.0286368843069874,1.43184421534937,0.3436426116838488
2017,White Potato,0.0057273768613974796,0.6872852233676976,0.11454753722794961
2018,White Potato,-0.005154639175257732,1.3172966781214204,0.7445589919816723
1999,Oat,-0.000572737686139748,1.145475372279496,0.9736540664375716
2000,Oat,0.013745704467353952,1.145475372279496,0.7445589919816723
2001,Oat,-0.058419243986254296,0.6300114547537228,3.264604810996564
2002,Oat,0.037800687285223365,2.86368843069874,0.11454753722794961
2003,Oat,-0.014891179839633447,1.5463917525773196,2.290950744558992
