Year,Winter barley,Spring barley,Winter wheat,Spring wheat,Silage maize,White potato,Spring oat,Dry pea,Winter rapeseed,Spring rapeseed,Overall
2005,7531.071267677239,1388.1342394314938,7332.671847814924,1388.1342394314938,1189.4752702535382,6139.179302898947,16219.033835941442,1387.4846131637398,1288.879371791127,21719.381607615163,6558.34455960191
2006,4651.887510335409,5859.287434385022,4651.887510335409,5362.453292062833,3080.8078526338054,9599.536516716378,15625.584037260569,3577.262491282408,793.8560176786082,18775.90939808111,7197.847206077155
2007,1879.1028351297864,990.8153971109323,1879.1028351297864,891.5505731661772,1385.394652025666,9600.25069859491,4947.995809731008,1287.0435215040816,99.00527462911454,21424.843894236954,4438.510549125842
2008,2773.1563442421493,398.22106718637707,2773.1563442421493,398.22106718637707,496.83475693178946,4368.634829692836,7422.486375379422,595.840031560904,495.0242608494278,23264.481819101064,4298.605689637249
2009,3169.304657290844,1189.4716440974555,3169.304657290844,1090.0774988642552,991.3329798988084,12271.592873783131,17503.974421364062,1387.871668320652,791.6478970752911,22323.14285217013,6388.772115015548
2010,3867.661502516316,4860.287398870318,3867.661502516316,4563.401802219536,5448.186051461752,15043.576476729802,16127.922753954628,4068.1176908639263,198.14047490755567,19780.437704319484,7782.539335835963
2011,4353.937128577711,1484.796938877315,4353.937128577711,1484.796938877315,1385.7916642482005,8700.690010752514,10379.341836984511,1683.1969631005115,99.13520027844113,14529.531090840312,4845.515490111454
2012,1686.7136933306836,1783.2425429274558,1686.7136933306836,1783.2425429274558,1683.9777189827007,7612.91181995401,11074.175901403592,1783.2425429274558,495.80471871462595,18131.881303939987,4772.190647843865
2013,1390.478319385683,1093.0727169746206,1390.478319385683,894.5430690851103,695.755989705002,12973.100344798593,13548.269027781756,794.8911899834432,793.3399432162635,16821.109850749148,5039.50387710653
2014,2877.62115959547,198.9173089830427,2877.62115959547,99.52316374984214,692.116586930139,1579.6743379576328,6045.602728521295,297.5309987284551,892.3452178453779,17803.752553038874,3336.4705214945598
2015,4350.856625124953,198.26768271528883,4350.856625124953,99.52316374984214,493.71536350766365,3449.9550103121787,6338.211086854259,395.49506220611363,197.61776040941822,21425.675406761293,4130.017378676597
2016,5449.392772192703,2976.494997093654,5449.392772192703,2877.100851860454,1286.0122808920398,18404.8864802483,14652.485957796387,1586.6641881249577,1090.9978402625918,19378.748591703257,7315.217673236705
2017,6040.704159310633,2481.5973321888373,5942.221599179657,2283.1973079656404,1982.1595467668076,5741.55662377622,14949.918961280848,1984.7601589888925,99.39414523320055,21433.153056350813,6293.866289104155
2018,9113.938076595134,3374.318740954224,8715.974743277224,3175.7890930647136,1388.525824315196,15916.682480491396,18889.99821217525,2779.248593933961,795.795833065018,22223.698875108406,8637.397047298053
