row,col,mean_delta_suitability,mean_ALT_m,mean_soil_moisture_mm
7,25,0.002499999999999991,3.180000066757202,216.61610481219114
7,26,0.002499999999999991,3.0295000433921815,188.5318004547383
7,27,-0.0050000000000000044,2.127999949455261,87.92737850854004
7,28,0.0,1.334000012278557,36.325708583768254
7,29,0.0,1.3600000143051147,93.74212527876814
7,30,0.0,1.3600000143051147,95.63227939222216
7,31,0.0,1.3600000143051147,92.6367469828353
7,32,0.0,1.2170000031590462,36.83044238313962
7,33,0.0,2.2479999393224714,160.25679576718204
7,34,0.0,3.180000066757202,394.1217599582325
7,35,0.0,3.180000066757202,274.187696977281
7,36,0.0,3.180000066757202,238.53932944239332
7,37,0.0,1.3600000143051147,48.580423980667454
7,38,0.0,3.180000066757202,243.19469215670728
7,39,0.0,1.3600000143051147,111.39130938316502
7,40,0.0,1.334000012278557,146.3663505078081
7,41,0.0,1.3600000143051147,51.19840089484656
7,42,0.0,1.3600000143051147,54.65702046072954
7,43,-0.015000000000000013,3.180000066757202,109.91879041764442
7,44,0.0,1.3600000143051147,53.98156692551788
7,45,0.0,0.8399999737739563,46.936693085047416
7,46,0.0,1.3600000143051147,87.9073152229543
7,47,0.0,1.3600000143051147,61.97089479375641
7,48,0.0,2.319999933242798,154.8303081004909
7,49,0.0,0.9699999839067459,31.85816641107033
7,50,0.0,0.8399999737739563,28.109020136406677
7,51,0.0,1.2300000041723251,116.80499810552305
7,52,0.0,0.8039999753236771,79.09150432448124
7,53,0.0,0.8399999737739563,29.48633032501465
7,54,0.0,1.3600000143051147,47.983992939321965
7,55,0.0,1.3600000143051147,58.689464918581166
7,56,0.0,2.965000033378601,134.73612775714838
7,57,0.0,3.180000066757202,351.31680872138617
8,10,0.0,3.180000066757202,241.3319096473581
8,11,0.0,3.180000066757202,185.44775034246402
8,12,-0.002499999999999991,3.180000066757202,181.91484329004558
8,13,-0.002499999999999991,3.180000066757202,177.88894679228585
8,14,-0.002499999999999991,3.180000066757202,181.97498240363296
8,15,-0.002499999999999991,3.180000066757202,177.8094001346498
8,16,-0.002499999999999991,3.180000066757202,174.4106250261772
8,17,0.002499999999999991,3.180000066757202,169.97884339785205
8,18,0.0,2.271999937295914,102.04821957462073
8,19,0.0,1.3600000143051147,90.20429113280507
8,20,0.0,1.3600000143051147,102.50189192184538
8,21,0.0,1.9359999656677247,67.40027708362746
8,22,-0.0025000000000000135,3.180000066757202,210.21412884337934
8,23,0.0,3.180000066757202,248.23272428313808
8,24,-0.007500000000000018,3.180000066757202,274.13353188382945
8,25,0.017500000000000005,3.180000066757202,204.67476535309896
8,26,0.004999999999999982,3.1155000567436217,194.76760138732953
8,27,0.015000000000000013,3.180000066757202,231.27543255731584
8,28,0.009999999999999986,2.9600000441074372,189.655713914522
8,29,0.0,1.3600000143051147,45.49162812476651
8,30,0.0,1.3600000143051147,40.13915232067416
8,31,0.0,1.3600000143051147,44.20133224012028
8,32,0.0,1.3600000143051147,94.968715788334
8,33,0.0,1.8879999697208405,189.3526660681244
8,34,0.0,1.994999958574772,155.34155797891538
8,35,0.0,1.9099999636411666,113.99418265845539
8,36,0.0,2.319999933242798,119.16370456917916
8,37,0.0,2.295999935269356,240.1085084692332
8,38,0.0,1.3600000143051147,54.7007909418121
8,39,0.0,3.180000066757202,202.03211742423179
8,40,0.0,1.9599999636411667,136.24259836723675
8,41,0.0,0.8219999745488167,58.425267402281065
8,42,0.0,0.9699999839067459,98.12934892156451
8,43,0.0,1.3600000143051147,163.46901964422543
8,44,-0.085,1.5759999960660935,68.94869732623114
8,45,0.057499999999999996,3.180000066757202,208.11576920032417
8,46,0.04749999999999999,2.70699999332428,241.80148759757472
8,47,0.0,1.3600000143051147,48.87539391078802
8,48,0.0,1.3470000132918358,95.20806559489937
8,49,0.0,0.8399999737739563,106.85775356678782
8,50,0.0,1.3600000143051147,43.93530051378771
8,51,0.0,1.3600000143051147,140.14271206118408
8,52,0.0,1.6479999899864197,153.70735009268714
8,53,0.0,1.1129999950528144,99.31959691577207
8,54,0.0,0.9519999846816063,54.788589157518814
8,55,0.0,1.0349999889731407,54.92729527839403
8,56,0.0,0.8399999737739563,25.951730323749292
8,57,0.0,0.8529999747872352,97.00652245642387
8,58,0.0,3.180000066757202,394.7077316905186
9,0,0.0,3.180000066757202,163.415763210681
9,10,0.0,3.180000066757202,250.27193535876876
9,11,-0.004999999999999982,3.180000066757202,206.05170028811472
9,12,-0.004999999999999982,3.180000066757202,203.35025755775476
9,13,-0.0050000000000000044,3.180000066757202,189.5702502752363
9,14,-0.002499999999999991,3.180000066757202,202.39979951425448
9,15,-0.002499999999999991,3.180000066757202,200.16128946303985
9,16,-0.002499999999999991,3.180000066757202,185.7738089759335
9,17,-0.002499999999999991,3.180000066757202,178.0509691942077
9,18,-0.002499999999999991,3.180000066757202,102.43490047244381
9,19,0.0,3.180000066757202,95.2699072023787
9,20,0.0,1.5280000001192093,95.94914947240349
9,21,0.0,1.8159999758005143,109.71011101885081
9,22,0.0,2.1999999433755875,130.77435010394132
9,23,0.0,3.1155000567436217,233.68275301910202
9,24,0.0,3.180000066757202,213.52072860272352
9,25,-0.002499999999999991,3.180000066757202,253.2084970118354
9,26,-0.0025000000000000135,3.180000066757202,194.95140100332577
9,27,0.040000000000000015,3.180000066757202,276.8558705026293
9,28,0.0125,3.180000066757202,241.26900778741256
9,29,0.017500000000000005,3.158500063419342,229.26652448222632
9,30,-0.0050000000000000044,2.2479999393224714,65.61038942013602
9,31,-0.0050000000000000044,1.3600000143051147,53.893730484726085
9,32,0.0,1.3600000143051147,43.80955672351787
9,33,0.0,1.3600000143051147,92.78846658542955
9,34,0.0,1.3600000143051147,95.25277354423172
9,35,0.0,1.1389999970793725,77.72765262772442
9,36,0.0,1.8969999626278877,154.63407324653036
9,37,0.0,1.282000008225441,125.85896101938106
9,38,0.0,0.9699999839067459,72.73520493939898
9,39,0.0,1.29500000923872,44.89624941595753
9,40,0.0,1.3600000143051147,57.13776818822307
9,41,0.0,1.3600000143051147,58.12380193378175
9,42,0.0,1.269000007212162,84.29714972055514
9,43,0.0,1.3470000132918358,90.4597509981385
9,44,0.0,0.8399999737739563,94.60506827447969
9,45,0.0,1.9359999656677247,200.83500164291618
9,46,0.0675,3.180000066757202,188.61977901646688
9,47,0.10499999999999998,3.180000066757202,300.9811757381126
9,48,-0.03500000000000001,1.3600000143051147,58.43786458506717
9,49,0.0,1.3600000143051147,103.18328858896218
9,50,0.0,0.8569999761879444,70.77989510809726
9,51,0.0,1.3600000143051147,50.09540740955414
9,52,0.0,1.3600000143051147,106.29002080643116
9,53,0.0,1.3600000143051147,106.2056261103495
9,54,0.0,1.5999999940395355,155.0033834890847
9,55,0.0,0.8789999768137932,91.42202806806088
9,56,0.0,2.319999933242798,256.26781608828423
9,57,0.0,0.9699999839067459,39.29923616255674
9,58,0.0,1.3080000102519989,40.144189857408534
9,59,0.0,3.180000066757202,411.95569189217883
9,62,0.0,3.180000066757202,329.348586482629
10,0,0.0,3.180000066757202,188.92603650461447
10,1,0.0,3.180000066757202,170.1722401715681
10,2,0.0,3.180000066757202,160.85961278288516
10,3,0.0,3.180000066757202,160.40608042459658
10,4,0.0,3.180000066757202,198.6908602236471
10,5,0.0,3.180000066757202,206.98860103053926
10,10,0.0,3.180000066757202,200.25161424126915
10,11,0.0,3.180000066757202,264.9048861620203
10,12,-0.009999999999999964,3.180000066757202,195.33973372557028
10,13,-0.002499999999999991,3.180000066757202,191.6920600214782
10,14,-0.002499999999999991,3.180000066757202,198.93206664003426
