delta_suit,delta_lgp,delta_fc2,mean_precip
0.0,13.85,0.0,305.00812490750104
0.0,19.35,0.0,267.30712485299443
0.0,1.35,0.0,230.2177502899198
0.0,53.55,0.0,223.39799993592314
0.0,7.0,0.0,226.72275004284455
0.0,21.8,0.0,231.3892501990311
0.0,18.35,0.0,238.14600017697086
0.0,9.5,0.0,245.75962545748334
0.0,10.65,0.0,245.6426249830518
0.0,6.25,0.0,243.2996250410797
0.0,2.1,0.0,241.07437528767622
0.0,0.05,0.0,238.998750032112
0.0,14.9,0.0,237.4076255501015
0.0,46.7,0.0,272.04225010960363
0.0,0.95,0.0,319.5483752474189
0.0,0.0,0.0,349.2363749676151
0.0,0.0,0.0,325.9953750746557
0.0,25.0,0.0,304.408124882984
0.0,25.45,0.0,306.60375019821805
0.0,0.05,0.0,316.7606254637241
0.0,12.6,0.0,316.0162499572616
0.0,24.95,0.0,280.76699994883967
0.0,14.95,0.0,247.146375270281
0.0,8.8,0.0,233.53800018429757
0.0,14.75,0.0,225.99750035533216
0.0,10.7,0.0,81.41025005904957
0.0,9.55,0.0,86.25450025331229
0.0,10.0,0.0,91.68937500272878
0.0,11.9,0.0,99.3307497915579
0.0,11.45,0.0,107.66700002008584
0.0,22.65,0.0,137.56312500487547
0.0,28.95,0.0,176.25150002304
0.0,19.75,0.0,212.20912504130973
0.0,21.25,0.0,234.69900008786936
0.0,7.0,0.0,256.47900022007525
0.0,0.35,0.0,237.4218752643792
0.0,32.45,0.0,204.10237521938978
0.0,41.85,0.0,177.25537494348828
0.0,40.25,0.0,170.87175021974835
0.0,31.3,0.0,164.29987517169212
0.0,31.1,0.0,165.43687491079328
0.0,15.75,0.0,171.73762517806608
0.0,19.05,0.0,178.6436249656137
0.0,16.5,0.0,189.74887516631279
0.0,9.35,0.0,201.55725023655685
0.0,8.6,0.0,216.51375030661
0.0,23.85,0.0,233.1292499174364
0.0,20.95,0.0,243.33112491343635
0.0,5.55,0.0,233.38350017601624
0.0,20.1,0.0,224.0760004529264
0.0,48.55,0.0,227.96474993606097
0.0,21.55,0.0,236.81625007400288
0.0,12.2,0.0,244.45424990097527
0.0,6.55,0.0,247.20037474720738
0.0,0.5,0.0,250.412249822123
0.0,5.35,0.0,250.22549990438856
0.0,15.1,0.0,249.32962508273778
0.0,17.2,0.0,249.06974975059273
0.0,12.5,0.0,249.9896252445178
0.0,6.6,0.0,251.1431249913061
0.0,35.95,0.0,283.7508748574881
0.0,33.0,0.0,328.3638753019739
0.0,14.15,0.0,360.24825039401185
0.0,0.15,0.0,354.93412495960945
0.0,0.3,0.0,349.6856252387632
0.0,0.0,0.0,367.60537505638786
0.0,0.1,0.0,392.24024955725764
0.0,0.15,0.0,397.9177504929714
0.0,0.0,0.0,350.5908746825997
0.0,12.4,0.0,306.19837519451977
0.0,0.4,0.0,287.3422498694621
0.0,9.5,0.0,276.4080002120929
0.0,18.3,0.0,263.26312545407563
0.0,0.25,-0.001025739312171936,244.78200013218446
0.0,11.8,0.0,85.06837501164992
0.0,12.85,0.0,90.64687497464475
0.0,12.15,0.0,97.63987507498823
0.0,12.85,0.0,105.1563751783222
0.0,21.1,0.0,128.3981250310084
0.0,30.55,0.0,158.82712462441995
0.0,38.5,0.0,188.25900010303593
0.0,44.45,0.0,209.3452497270424
0.0,33.3,0.0,230.00362502250354
0.0,4.0,0.0,219.28050000923685
0.0,21.45,0.0,196.74450047016143
0.0,26.1,0.0,177.89025021877606
0.0,40.0,0.0,173.65350026448723
0.0,37.2,0.0,168.83437490051148
0.0,42.0,0.0,171.01837502054406
0.0,40.2,0.0,177.58575008416082
0.0,38.25,0.0,184.37362518350128
0.0,31.8,0.0,189.78712502312845
0.0,24.75,0.0,195.83025024388917
0.0,8.5,0.0,205.75912507069296
0.0,16.75,0.0,217.53862532703207
0.0,17.85,0.0,226.95150022204035
0.0,14.3,0.0,228.35625031406525
0.0,9.2,0.0,229.83337503825314
0.0,29.35,0.0,245.156250062841
0.0,54.2,0.0,266.4498750437982
0.0,62.1,0.05,281.930250288127
0.0,48.95,0.0,278.8289998858236
0.0,19.35,0.0,276.37049976231066
0.0,32.55,0.0,274.2780001393054
0.0,2.65,0.0,272.55449996876996
0.0,0.9,0.0,271.5915001563029
0.0,14.2,0.0,272.20837513434236
0.0,16.75,0.0,273.11212528368924
0.0,22.4,0.0,295.67062541795895
0.0,16.55,0.0,326.02200013329275
0.0,0.1,0.0,349.7193750561681
0.0,0.15,0.0,349.53262527042534
0.0,1.15,0.0,349.1561249014223
0.0,8.85,0.0,368.82075030538255
0.0,7.5,0.0,393.88387502126864
0.0,0.65,0.0,403.17225024646615
0.0,0.05,0.0,369.10837539846545
0.0,0.0,0.0,337.1231252207188
0.0,0.15,0.0,324.9127499610651
0.0,0.6,0.0,318.64462523504625
0.0,4.9,0.0,309.9622499794932
0.0,11.1,0.0,295.5521249797195
0.0,10.55,0.0,281.5586251462111
0.0,12.1,0.0,91.59337497900705
0.0,14.95,0.0,98.10037497854792
0.0,15.2,0.0,104.80012505399063
0.0,17.6,0.0,118.48912501416635
0.0,24.85,0.0,136.24612489882855
0.0,31.55,0.0,154.57612492516637
0.0,36.85,0.0,169.9368748378707
0.0,40.7,0.0,186.43537484535483
0.0,30.3,0.0,185.2687498973217
0.0,5.05,0.0,179.47762491016184
0.0,15.85,0.0,174.87262499022762
0.0,27.45,0.0,175.151249984256
0.0,37.95,0.0,174.47100011708682
0.0,40.7,0.0,179.8050000413088
0.0,42.95,0.0,187.103999879607
0.0,48.6,0.0,194.09699996374547
0.0,34.5,0.0,197.60624988728668
0.0,41.5,0.0,201.73724989909678
0.0,30.75,0.0,209.14762508340647
0.0,19.75,0.0,217.76249975450338
0.0,14.15,0.0,226.43287491712255
0.0,18.95,0.0,233.1003752246499
0.0,16.05,0.0,239.77875016157049
0.0,11.1,0.0,268.08075054734945
0.0,4.4,0.0,305.4682502107462
0.0,9.2,0.0,331.88287456280085
0.0,35.0,0.0,322.5753744660178
0.0,27.4,0.0,313.2896249047946
0.0,26.1,0.0,308.486624972336
0.0,29.4,0.0,305.4772501675878
0.0,18.65,0.0,303.0990002577193
0.0,0.05,0.0,302.01937480457127
0.0,0.0,0.0,301.5817501906073
0.0,1.15,0.0,309.2718753583031
0.0,19.1,0.0,320.30624983776363
0.0,18.9,0.0,329.7772499444429
0.0,21.05,0.05,330.34575014256404
0.0,1.0,0.0,331.0762507320149
0.0,0.2,0.0,346.45125028800686
0.0,0.3,0.0,365.85487437639387
0.0,0.65,0.0,377.62874965120574
0.0,0.35,0.0,368.37675011688845
0.0,0.1,0.0,359.4873753083404
0.0,0.05,0.0,358.9912500989391
0.0,0.1,0.0,360.5786252218997
0.0,0.05,0.0,359.8451250157552
0.0,0.35,0.0,354.36337545956485
0.0,0.0,0.0,347.86274992488325
0.0,17.1,0.1,320.14724986522924
0.0,5.45,0.0,36.69150008813013
0.0,12.6,0.0,94.31287502984051
0.0,13.2,0.0,99.95849997776095
0.0,15.8,0.0,106.1111248408677
0.0,17.85,0.0,113.7843750679167
0.0,19.95,0.0,121.66499991654419
0.0,22.3,0.0,131.47162513067013
0.0,25.0,0.0,141.9067500805715
0.0,31.0,0.0,153.6840001110686
0.0,32.1,0.0,161.87212520583998
0.0,31.4,0.0,168.8988752529025
0.0,5.35,0.0,174.152250215807
0.0,7.65,0.0,177.3794999388512
0.0,16.55,0.0,181.88399991367478
0.0,43.25,0.0,188.34750020534267
0.0,42.35,0.0,196.96612505209632
0.0,45.65,0.0,204.5981247976888
0.0,43.25,0.0,206.65162517100106
0.0,52.45,0.0,209.1956250186544
0.0,42.7,0.0,214.99874969923403
0.0,40.4,0.0,221.38537540361284
0.0,32.1,0.0,229.20225003038067
0.0,30.55,0.0,239.39025015681983
0.0,20.8,0.0,249.71099994792604
