delta_suit,delta_lgp,delta_fc2,mean_precip
0.0,20.75,0.0,161.24924926757814
0.0,6.85,0.0,164.55112228393554
0.0,10.8,0.0,169.54424896240235
0.0,9.3,0.0,181.61999588012696
0.0,4.8,0.0,211.51612396240233
0.0,16.45,0.0,241.37324752807618
0.0,27.9,0.0,268.8453773498535
0.0,21.6,0.0,295.0642425537109
0.0,13.85,0.0,305.0081268310547
0.0,19.35,0.0,267.30711975097654
0.0,1.35,0.0,230.21775283813477
0.0,53.55,0.0,223.3979965209961
0.0,7.0,0.0,226.72274932861328
0.0,21.8,0.0,231.38925018310547
0.0,18.35,0.0,238.14599838256837
0.0,9.5,0.0,245.75962600708007
0.0,10.65,0.0,245.64262619018555
0.0,6.25,0.0,243.29962615966798
0.0,2.1,0.0,241.07437133789062
0.0,0.05,0.0,238.9987480163574
0.0,14.9,0.0,237.40762634277343
0.0,46.7,0.0,272.0422477722168
0.0,0.95,0.0,319.54837493896486
0.0,0.0,0.0,349.23637237548826
0.0,0.0,0.0,325.9953811645508
0.0,25.0,0.0,304.40812225341796
0.0,25.45,0.0,306.60375289916993
0.0,0.05,0.0,316.76062164306643
0.0,12.6,0.0,316.01625366210936
0.0,24.95,0.0,280.7669990539551
0.0,14.95,0.0,247.14637603759766
0.0,8.8,0.0,233.53800201416016
0.0,14.75,0.0,225.99749755859375
0.0,10.7,0.0,81.41024951934814
0.0,9.55,0.0,86.25450000762939
0.0,10.0,0.0,91.68937473297119
0.0,11.9,0.0,99.33074989318848
0.0,11.45,0.0,107.66700057983398
0.0,22.65,0.0,137.56312522888183
0.0,28.95,0.0,176.25149803161622
0.0,19.75,0.0,212.20911903381347
0.0,21.25,0.0,234.69900093078613
0.0,7.0,0.0,256.47900543212893
0.0,0.35,0.0,237.4218723297119
0.0,32.45,0.0,204.1023742675781
0.0,41.85,0.0,177.25537719726563
0.0,40.25,0.0,170.87174949645996
0.0,31.3,0.0,164.29987678527831
0.0,31.1,0.0,165.43687438964844
0.0,15.75,0.0,171.73762550354004
0.0,19.05,0.0,178.64362564086915
0.0,16.5,0.0,189.74887619018554
0.0,9.35,0.0,201.55724868774413
0.0,8.6,0.0,216.5137481689453
0.0,23.85,0.0,233.12924880981444
0.0,20.95,0.0,243.3311294555664
0.0,5.55,0.0,233.38350296020508
0.0,20.1,0.0,224.07599868774415
0.0,48.55,0.0,227.96474990844726
0.0,21.55,0.0,236.81625061035157
0.0,12.2,0.0,244.45424880981446
0.0,6.55,0.0,247.20037384033202
0.0,0.5,0.0,250.41224746704103
0.0,5.35,0.0,250.2254981994629
0.0,15.1,0.0,249.3296257019043
0.0,17.2,0.0,249.06975173950195
0.0,12.5,0.0,249.98963088989257
0.0,6.6,0.0,251.14312515258788
0.0,35.95,0.0,283.7508743286133
0.0,33.0,0.0,328.36387023925784
0.0,14.15,0.0,360.2482482910156
0.0,0.15,0.0,354.9341323852539
0.0,0.3,0.0,349.6856185913086
0.0,0.0,0.0,367.6053695678711
0.0,0.1,0.0,392.24025573730466
0.0,0.15,0.0,397.9177436828613
0.0,0.0,0.0,350.59087524414065
0.0,12.4,0.0,306.19837417602537
0.0,0.4,0.0,287.34225234985354
0.0,9.5,0.0,276.4080009460449
0.0,18.3,0.0,263.2631217956543
0.0,0.25,-0.001025739312171936,244.78200302124023
0.0,11.8,0.0,85.06837425231933
0.0,12.85,0.0,90.64687595367431
0.0,12.15,0.0,97.63987407684326
0.0,12.85,0.0,105.15637512207032
0.0,21.1,0.0,128.39812545776368
0.0,30.55,0.0,158.8271228790283
0.0,38.5,0.0,188.25899925231934
0.0,44.45,0.0,209.34525146484376
0.0,33.3,0.0,230.00362548828124
0.0,4.0,0.0,219.28050079345704
0.0,21.45,0.0,196.74450302124023
0.0,26.1,0.0,177.89024925231934
0.0,40.0,0.0,173.65349731445312
0.0,37.2,0.0,168.8343765258789
0.0,42.0,0.0,171.01837234497071
0.0,40.2,0.0,177.58574943542482
0.0,38.25,0.0,184.37362251281738
0.0,31.8,0.0,189.7871292114258
0.0,24.75,0.0,195.8302516937256
0.0,8.5,0.0,205.75912857055664
0.0,16.75,0.0,217.53862686157225
0.0,17.85,0.0,226.9515022277832
0.0,14.3,0.0,228.35625228881835
0.0,9.2,0.0,229.83337631225587
0.0,29.35,0.0,245.1562484741211
0.0,54.2,0.0,266.4498687744141
0.0,62.1,0.05,281.9302505493164
0.0,48.95,0.0,278.82900161743163
0.0,19.35,0.0,276.37049713134763
0.0,32.55,0.0,274.27799530029296
0.0,2.65,0.0,272.5545051574707
0.0,0.9,0.0,271.59150390625
0.0,14.2,0.0,272.20837783813477
0.0,16.75,0.0,273.1121284484863
0.0,22.4,0.0,295.6706283569336
0.0,16.55,0.0,326.0220008850098
0.0,0.1,0.0,349.71937561035156
0.0,0.15,0.0,349.53262481689455
0.0,1.15,0.0,349.15612335205077
0.0,8.85,0.0,368.8207443237305
0.0,7.5,0.0,393.8838691711426
0.0,0.65,0.0,403.17225341796876
0.0,0.05,0.0,369.10836639404295
0.0,0.0,0.0,337.12313079833984
0.0,0.15,0.0,324.9127502441406
0.0,0.6,0.0,318.6446273803711
0.0,4.9,0.0,309.9622497558594
0.0,11.1,0.0,295.5521293640137
0.0,10.55,0.0,281.5586280822754
0.0,12.1,0.0,91.59337425231934
0.0,14.95,0.0,98.10037498474121
0.0,15.2,0.0,104.80012588500976
0.0,17.6,0.0,118.48912544250489
0.0,24.85,0.0,136.2461250305176
0.0,31.55,0.0,154.57612266540528
0.0,36.85,0.0,169.93687705993653
0.0,40.7,0.0,186.43537292480468
0.0,30.3,0.0,185.26875076293945
0.0,5.05,0.0,179.47762641906738
0.0,15.85,0.0,174.87262649536132
0.0,27.45,0.0,175.15124855041503
0.0,37.95,0.0,174.47099990844725
0.0,40.7,0.0,179.80499992370605
0.0,42.95,0.0,187.10400047302247
0.0,48.6,0.0,194.09700088500978
0.0,34.5,0.0,197.60624961853028
0.0,41.5,0.0,201.7372501373291
0.0,30.75,0.0,209.14762115478516
0.0,19.75,0.0,217.76249923706055
0.0,14.15,0.0,226.43287811279296
0.0,18.95,0.0,233.10037536621093
0.0,16.05,0.0,239.77875442504882
0.0,11.1,0.0,268.0807479858398
0.0,4.4,0.0,305.46824951171874
0.0,9.2,0.0,331.8828773498535
0.0,35.0,0.0,322.5753807067871
0.0,27.4,0.0,313.2896240234375
0.0,26.1,0.0,308.48662109375
0.0,29.4,0.0,305.47725143432615
0.0,18.65,0.0,303.09899978637696
0.0,0.05,0.0,302.0193725585938
0.0,0.0,0.0,301.5817497253418
0.0,1.15,0.0,309.27187728881836
0.0,19.1,0.0,320.3062469482422
0.0,18.9,0.0,329.7772491455078
0.0,21.05,0.05,330.3457504272461
0.0,1.0,0.0,331.0762397766113
0.0,0.2,0.0,346.4512542724609
0.0,0.3,0.0,365.8548751831055
0.0,0.65,0.0,377.6287506103516
0.0,0.35,0.0,368.37675323486326
0.0,0.1,0.0,359.487370300293
0.0,0.05,0.0,358.99125518798826
0.0,0.1,0.0,360.57862091064453
0.0,0.05,0.0,359.84512557983396
0.0,0.35,0.0,354.3633720397949
0.0,0.0,0.0,347.8627540588379
0.0,17.1,0.1,320.1472473144531
0.0,5.45,0.0,36.69150037765503
0.0,12.6,0.0,94.31287593841553
0.0,13.2,0.0,99.9585018157959
0.0,15.8,0.0,106.11112251281739
0.0,17.85,0.0,113.78437423706055
0.0,19.95,0.0,121.6650001525879
0.0,22.3,0.0,131.47162704467775
0.0,25.0,0.0,141.90674858093263
0.0,31.0,0.0,153.6839984893799
0.0,32.1,0.0,161.87212638854982
0.0,31.4,0.0,168.89887237548828
0.0,5.35,0.0,174.152250289917
0.0,7.65,0.0,177.37950286865234
0.0,16.55,0.0,181.8840015411377
0.0,43.25,0.0,188.3474998474121
0.0,42.35,0.0,196.96612815856935
0.0,45.65,0.0,204.59812545776367
0.0,43.25,0.0,206.65162773132323
0.0,52.45,0.0,209.19562683105468
0.0,42.7,0.0,214.9987480163574
0.0,40.4,0.0,221.38537368774413
0.0,32.1,0.0,229.2022491455078
0.0,30.55,0.0,239.3902503967285
0.0,20.8,0.0,249.71100082397462
0.0,11.7,0.0,288.2520011901855
0.0,6.2,0.0,338.9358757019043
0.0,0.85,0.0,374.19787979125977
0.0,4.4,0.0,360.7169982910156
0.0,2.2,0.0,346.99687881469725
0.0,0.1,0.0,341.92874374389646
0.0,8.4,0.0,340.1433784484863
0.0,20.65,0.0,337.7872512817383
0.0,18.45,0.0,334.58250122070314
0.0,0.25,0.0,331.84387054443357
0.0,0.95,0.0,325.71787414550784
0.0,0.25,0.0,320.7937484741211
0.0,3.1,0.0,317.44350204467776
0.0,6.35,0.0,318.63524703979493
0.0,11.3,0.0,320.5773780822754
0.0,5.05,0.0,331.6080017089844
0.0,-0.35,0.0,345.2692565917969
0.0,0.1,0.0,358.4497543334961
0.0,0.05,0.0,369.8032531738281
0.0,0.6,0.0,379.9676177978516
0.0,1.3,0.0,389.0531265258789
0.0,0.0,0.0,396.7308715820312
0.0,0.1,0.0,402.3997436523438
0.0,7.25,0.0,404.3872467041016
0.0,0.05,0.0,404.33437576293943
0.0,0.25,0.0,373.43775482177733
0.0,16.3,0.15,333.8767478942871
0.0,9.4,-0.05,262.08187637329104
0.0,4.45,0.0,34.93199987411499
0.0,5.3,0.0,42.248625659942626
0.0,7.55,0.0,50.17837543487549
0.0,9.1,0.0,55.89337520599365
0.0,7.55,0.0,61.58174858093262
0.0,8.15,0.0,67.28549995422364
0.0,13.85,0.0,99.18824882507325
0.0,15.65,0.0,103.03274955749512
0.0,17.0,0.0,108.28649997711182
0.0,17.95,0.0,115.77150115966796
0.0,20.9,0.0,124.62712440490722
0.0,22.55,0.0,133.24875183105468
0.0,25.5,0.0,142.03725051879883
0.0,30.4,0.0,151.70812492370607
0.0,31.65,0.0,159.84937438964843
0.0,33.05,0.0,166.97287559509277
0.0,35.2,0.0,175.4632495880127
0.0,37.1,0.0,183.08437538146973
0.0,20.05,0.0,191.28225059509276
0.0,5.5,0.0,199.6001235961914
0.0,5.05,0.0,210.38662338256836
0.0,22.0,0.0,218.84737548828124
0.0,41.1,0.0,218.91375198364258
0.0,43.75,0.0,219.36600036621093
0.0,48.45,0.0,222.82987365722656
0.0,47.35,0.0,227.32612533569335
0.0,48.4,0.0,233.6268737792969
0.0,39.35,0.0,244.56712493896484
0.0,26.4,0.0,256.26974868774414
0.0,11.3,0.0,294.267748260498
0.0,2.35,0.0,344.6107551574707
0.0,0.65,0.0,380.87625274658205
0.0,0.1,0.0,372.10950393676757
0.0,0.35,0.0,363.0525032043457
0.0,28.85,0.0,365.3047477722168
0.0,0.65,0.0,371.22937088012696
0.0,0.4,0.0,373.81987915039065
0.0,11.25,0.0,367.90312881469725
0.0,8.95,0.0,361.72463150024413
0.0,12.55,0.0,351.8861228942871
0.0,2.05,0.0,341.52037658691404
0.0,0.2,0.0,335.32200012207034
0.0,-0.25,0.0,340.86524505615233
0.0,4.15,0.0,346.47149963378905
0.0,4.5,0.0,354.61011962890626
0.0,5.45,0.0,363.0026260375977
0.0,0.35,0.0,372.1342483520508
0.0,0.15,0.0,382.8247497558594
0.0,0.0,0.0,392.0969985961914
0.0,1.05,0.0,399.1927520751953
0.0,2.05,0.0,404.89312133789065
0.0,1.65,0.0,409.5116226196289
0.0,0.0,0.0,414.0461227416992
0.0,0.35,0.0,415.76700592041016
0.0,13.95,0.05,398.2241271972656
0.0,2.25,0.0,373.7752456665039
0.0,5.55,0.0,347.23425216674804
0.0,1.25,0.0,318.54337921142576
0.0,-2.15,0.0,292.0282524108887
0.0,-19.4,0.0,264.409497833252
0.0,4.65,0.0,41.64337511062622
0.0,6.3,0.0,47.98575029373169
0.0,6.85,0.0,54.76950082778931
0.0,8.8,0.0,61.84799976348877
0.0,9.65,0.0,69.7529993057251
0.0,9.3,0.0,74.91862487792969
0.0,10.7,0.0,80.16787719726562
0.0,14.65,0.0,97.2168743133545
0.0,16.1,0.0,104.37937602996826
0.0,16.6,0.0,107.43412475585937
0.0,19.8,0.0,111.47137298583985
0.0,23.8,0.0,118.46887512207032
0.0,21.4,0.0,127.00162620544434
0.0,22.4,0.0,136.39425239562988
0.0,26.85,0.0,142.58887519836426
0.0,26.3,0.0,150.25912628173828
0.0,28.85,0.0,158.83012657165528
0.0,34.65,0.0,168.2242458343506
0.0,37.55,0.0,178.14337272644042
0.0,42.65,0.0,189.02887229919435
0.0,41.6,0.0,200.35087394714355
0.0,31.05,0.0,211.7868751525879
0.0,7.8,0.0,225.09075164794922
0.0,0.15,0.0,235.4478744506836
0.0,14.65,0.0,232.44599533081055
0.0,27.5,0.0,230.5886245727539
0.0,39.25,0.0,231.66862411499022
0.0,38.0,0.0,234.17437515258788
0.0,38.95,0.0,239.166748046875
